time,Compression Type,Page Size,Cluster Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_15:07:33,lz4,524288,31457280,1,False,10.53,0.51,32.504,-1.424,1097845581,1410.651,454923.6,1375.2,1404.0,1383.5,1427.7,1415.5,1419.9,1416.1,1427.2,1412.6,1424.8,449896.0,449968.0,501780.0,449716.0,449820.0,450124.0,449152.0,450044.0,449008.0,449728.0
23-06-15_15:08:25,lz4,524288,31457280,1,False,10.68,0.51,31.829,-0.309,1097845581,1403.470,449922.8,1363.5,1407.9,1375.3,1383.5,1411.3,1414.2,1426.3,1420.9,1414.8,1417.1,450056.0,449972.0,449668.0,449908.0,450072.0,449564.0,449912.0,450572.0,450036.0,449468.0
23-06-15_15:09:20,lz4,524288,31457280,1,False,10.32,0.51,30.724,-0.274,1097845581,1391.704,449764.8,1393.4,1394.0,1408.5,1380.8,1404.8,1387.4,1402.7,1380.4,1406.0,1359.1,449968.0,449996.0,450004.0,449508.0,449616.0,449916.0,449632.0,449396.0,449644.0,449968.0
23-06-15_15:10:13,lz4,524288,20971520,2,False,6.87,0.55,31.263,-11.195,1097420857,1397.445,498749.2,1399.6,1389.4,1416.5,1413.3,1375.4,1413.5,1405.7,1371.3,1390.8,1399.0,497336.0,496480.0,497332.0,497472.0,514076.0,497440.0,497192.0,497204.0,496444.0,496516.0
23-06-15_15:11:05,lz4,524288,31457280,1,False,9.98,0.51,30.844,-1.413,1097845581,1392.980,454874.4,1424.5,1412.5,1397.8,1385.0,1383.1,1389.2,1407.9,1379.4,1365.7,1384.6,449884.0,450100.0,449468.0,449912.0,475416.0,449268.0,449300.0,449864.0,449864.0,475668.0
23-06-15_15:11:58,lz4,262144,20971520,1,False,12.59,0.40,30.636,6.743,1099054779,1390.772,418292.0,1408.5,1395.8,1425.1,1395.4,1334.3,1403.5,1371.7,1385.0,1389.1,1399.3,418248.0,418488.0,417972.0,418560.0,417928.0,418020.0,418220.0,418268.0,419176.0,418040.0
23-06-15_15:12:50,lz4,524288,31457280,1,False,10.71,0.51,31.944,-0.319,1097845581,1404.696,449965.6,1421.6,1409.8,1398.2,1391.3,1400.5,1407.9,1407.0,1411.0,1406.1,1393.5,449864.0,450036.0,449572.0,450192.0,450016.0,450264.0,449936.0,450108.0,449656.0,450012.0
23-06-15_15:13:44,lz4,524288,20971520,2,False,7.06,0.55,31.425,-10.783,1097420857,1399.167,496904.4,1412.6,1394.9,1420.4,1417.1,1411.7,1380.7,1385.8,1388.6,1399.7,1380.2,496636.0,496564.0,497116.0,497048.0,496788.0,496880.0,497344.0,497240.0,496580.0,496848.0
23-06-15_15:14:39,lz4,1048576,20971520,1,False,10.75,0.61,35.593,-3.949,1096766788,1443.541,466250.0,1425.2,1447.9,1457.0,1434.5,1457.9,1437.8,1444.4,1437.8,1461.5,1431.4,467020.0,481516.0,451520.0,496744.0,450560.0,465876.0,466272.0,466132.0,451160.0,465700.0
23-06-15_15:15:33,lz4,1048576,20971520,1,False,9.87,0.61,34.331,-5.337,1096766788,1430.110,472473.2,1413.0,1436.6,1434.4,1444.4,1432.9,1425.6,1435.4,1438.5,1434.6,1405.7,499240.0,450112.0,465172.0,469048.0,497248.0,466596.0,466012.0,480656.0,449224.0,481424.0
23-06-15_15:16:26,lz4,524288,31457280,1,False,10.21,0.51,30.448,-0.324,1097845581,1388.764,449992.0,1393.2,1379.2,1371.1,1396.9,1389.0,1385.8,1400.7,1402.9,1387.7,1381.3,449876.0,450328.0,449916.0,450396.0,449908.0,450164.0,449880.0,449680.0,449960.0,449812.0
